# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
compiler.ArtifactManagerBridge.getArtifactsByType.ms,1775217556380000000,1775217616568000000,2
compiler.ArtifactManagerBridge.getArtifacts.ms,1775217556380000000,1775217616568000000,0
compiler.ArtifactManagerBridge.findArtifact.ms,1775217556380000000,1775217616568000000,0
compiler.ArtifactManagerBridge.commit.ms,1775217556380000000,1775217616568000000,0
compiler.ArtifactManagerBridge.addArtifact.ms,1775217556380000000,1775217616568000000,0
compiler.ArtifactManagerBridge.initBridges.ms,1775217556380000000,1775217616568000000,0
compiler.ArtifactManagerBridge.dropMappings.ms,1775217556380000000,1775217616568000000,0
Indexes.stubs.lookupDurationAvgMs,1775217556380000000,1775217616568000000,0.0
Indexing.writer_2.totalTimeSpentWritingMs,1775217556380000000,1775217616568000000,0
Indexing.writesQueuedMin,1775217556380000000,1775217616568000000,9223372036854775807
Indexing.writer_3.totalTimeSpentWritingMs,1775217556380000000,1775217616568000000,0
Indexes.entries.lookups,1775217556380000000,1775217616568000000,1
Indexes.stubs.lookupDurationMaxMs,1775217556380000000,1775217616568000000,0.0
Indexes.entries.lookupDuration90PMs,1775217556380000000,1775217616568000000,0.0
Indexes.allKeys.lookupDurationMaxMs,1775217556380000000,1775217616568000000,0.0
Indexing.writer_0.totalTimeSpentWritingMs,1775217556380000000,1775217616568000000,0
Indexes.allKeys.lookupDuration90PMs,1775217556380000000,1775217616568000000,0.0
Indexing.totalTimeIndexersSleptMs,1775217556380000000,1775217616568000000,0
Indexing.cache.totalCacheMisses,1775217556380000000,1775217616568000000,103
Indexing.writesQueuedMax,1775217556380000000,1775217616568000000,0
Indexes.entries.lookupDurationMaxMs,1775217556380000000,1775217616568000000,0.0
Indexing.cache.totalCacheEvicted,1775217556380000000,1775217616568000000,83
Indexes.entries.lookupDurationAvgMs,1775217556380000000,1775217616568000000,0.0
Indexes.allKeys.lookupDurationAvgMs,1775217556380000000,1775217616568000000,0.0
Indexing.cache.totalCacheAccesses,1775217556380000000,1775217616568000000,177
Indexes.stubs.lookupDuration90PMs,1775217556380000000,1775217616568000000,0.0
Indexes.allKeys.lookups,1775217556380000000,1775217616568000000,0
Indexes.stubs.lookups,1775217556380000000,1775217616568000000,76
Indexing.writer_1.totalTimeSpentWritingMs,1775217556380000000,1775217616568000000,0
MEM.ramBytes,1775217556380000000,1775217616568000000,1646051328
JVM.totalTimeAtSafepointsMs,1775217556380000000,1775217616568000000,1441
MEM.ramMinusFileMappingsBytes,1775217556380000000,1775217616568000000,1371361280
JVM.committedHeapBytes,1775217556380000000,1775217616568000000,801112064
JVM.usedHeapBytes,1775217556380000000,1775217616568000000,650956480
MEM.fileMappingsRamBytes,1775217556380000000,1775217616568000000,273711104
JVM.totalSafepointCount,1775217556380000000,1775217616568000000,253
JVM.threadCount,1775217556380000000,1775217616568000000,134
OS.loadAverage,1775217556380000000,1775217616568000000,4.037109375
JVM.usedNativeBytes,1775217556380000000,1775217616568000000,342009664
