# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
VFS.cache.segments,1775213496047000000,1775213556063000000,1.0
VFS.contentStorage.recordsReadSize,1775213496047000000,1775213556063000000,0
VFS.contentStorage.recordsDeduplicated,1775213496047000000,1775213556063000000,0
VFS.contentStorage.recordsStored,1775213496047000000,1775213556063000000,0
VFS.contentStorage.recordsDecompressionTimeUs,1775213496047000000,1775213556063000000,0
VFS.contentStorage.recordsStoredCompressed,1775213496047000000,1775213556063000000,0
VFS.contentStorage.recordsReadDecompressed,1775213496047000000,1775213556063000000,0
compiler.ArtifactManagerBridge.commit.ms,1775213556063000000,1775213616062000000,0
compiler.ArtifactManagerBridge.dropMappings.ms,1775213556063000000,1775213616062000000,0
compiler.ArtifactManagerBridge.getArtifactsByType.ms,1775213556063000000,1775213616062000000,3
compiler.ArtifactManagerBridge.findArtifact.ms,1775213556063000000,1775213616062000000,0
compiler.ArtifactManagerBridge.getArtifacts.ms,1775213556063000000,1775213616062000000,0
compiler.ArtifactManagerBridge.initBridges.ms,1775213556063000000,1775213616062000000,0
compiler.ArtifactManagerBridge.addArtifact.ms,1775213556063000000,1775213616062000000,0
parser.HTML.size.bytes,1775213556063000000,1775213616062000000,0
parser.JAVA.size.bytes,1775213556063000000,1775213616062000000,10643
lexer.Markdown.time.ns,1775213556063000000,1775213616062000000,36481708
lexer.HTML.size.bytes,1775213556063000000,1775213616062000000,0
writeAction.count,1775213556063000000,1775213616062000000,25
DiskQueryRelay.taskWaitingTotalTimeUs,1775213556063000000,1775213616062000000,22480869
DiskQueryRelay.tasksExecuted,1775213556063000000,1775213616062000000,60085
lexer.HTML.time.ns,1775213556063000000,1775213616062000000,148351
writeAction.median.wait.ms,1775213556063000000,1775213616062000000,100
LowMemory.gcOverloaded,1775213556063000000,1775213616062000000,0
LowMemory.gcLoad,1775213556063000000,1775213616062000000,8.707353161563513E-4
parser.Markdown.time.ns,1775213556063000000,1775213616062000000,50908720
parser.HTML.time.ns,1775213556063000000,1775213616062000000,4710572
parser.JSON.size.bytes,1775213556063000000,1775213616062000000,503
writeAction.wait.ms,1775213556063000000,1775213616062000000,168
writeAction.max.wait.ms,1775213556063000000,1775213616062000000,59
lexer.JSON.size.bytes,1775213556063000000,1775213616062000000,503
parser.JAVA.time.ns,1775213556063000000,1775213616062000000,174024690
lexer.JAVA.time.ns,1775213556063000000,1775213616062000000,4462819
DiskQueryRelay.tasksRequested,1775213556063000000,1775213616062000000,60085
lexer.JAVA.size.bytes,1775213556063000000,1775213616062000000,9659
DiskQueryRelay.taskExecutionTotalTimeUs,1775213556063000000,1775213616062000000,15710133
parser.JSON.time.ns,1775213556063000000,1775213616062000000,22935571
lexer.JSON.time.ns,1775213556063000000,1775213616062000000,3962970
parser.Markdown.size.bytes,1775213556063000000,1775213616062000000,1906
lexer.Markdown.size.bytes,1775213556063000000,1775213616062000000,1906
workspaceModel.workspaceFileIndexData.getDirectoriesByPackageName.ms,1775213556063000000,1775213616062000000,41
workspaceModel.initializing.ms,1775213556063000000,1775213616062000000,1
workspaceModel.updates.ms,1775213556063000000,1775213616062000000,156
workspaceModel.pre.handlers.ms,1775213556063000000,1775213616062000000,0
workspaceModel.workspaceFileIndexData.getFileInfo.ms,1775213556063000000,1775213616062000000,1189
workspaceModel.check.recursive.update.ms,1775213556063000000,1775213616062000000,1
workspaceModel.cachedValueWithParameters.clear.count,1775213556063000000,1775213616062000000,0
workspaceModel.on.changed.ms,1775213556063000000,1775213616062000000,136
workspaceModel.cachedValue.total.get.count,1775213556063000000,1775213616062000000,71
workspaceModel.full.replace.project.model.ms,1775213556063000000,1775213616062000000,169
workspaceModel.workspaceFileIndexData.getPackageName.ms,1775213556063000000,1775213616062000000,2
workspaceModel.collect.changes.ms,1775213556063000000,1775213616062000000,0
workspaceModel.update.unloaded.entities.ms,1775213556063000000,1775213616062000000,0
workspaceModel.updates.count,1775213556063000000,1775213616062000000,4
workspaceModel.workspaceFileIndexData.onEntitiesChanged.ms,1775213556063000000,1775213616062000000,21
workspaceModel.cachedValue.clear.count,1775213556063000000,1775213616062000000,0
workspaceModel.loading.total.ms,1775213556063000000,1775213616062000000,60
workspaceModel.workspaceFileIndexData.processFileSets.ms,1775213556063000000,1775213616062000000,0
workspaceModel.cachedValueWithParameters.calculated.count,1775213556063000000,1775213616062000000,1
workspaceModel.cachedValueWithParameters.from.cache.count,1775213556063000000,1775213616062000000,2
workspaceModel.to.snapshot.ms,1775213556063000000,1775213616062000000,1
workspaceModel.cachedValueWithParameters.total.get.count,1775213556063000000,1775213616062000000,3
workspaceModel.cachedValue.from.cache.count,1775213556063000000,1775213616062000000,55
workspaceModel.init.bridges.ms,1775213556063000000,1775213616062000000,6
workspaceModel.workspaceFileIndexContributor.registerFileSets.ms,1775213556063000000,1775213616062000000,113
workspaceModel.workspaceFileIndexData.markDirty.ms,1775213556063000000,1775213616062000000,0
workspaceModel.workspaceFileIndexData.init.ms,1775213556063000000,1775213616062000000,52
workspaceModel.loading.from.cache.ms,1775213556063000000,1775213616062000000,47
workspaceModel.replace.project.model.ms,1775213556063000000,1775213616062000000,0
workspaceModel.workspaceFileIndexData.instances.count,1775213556063000000,1775213616062000000,1
workspaceModel.workspaceFileIndexData.updateDirtyEntities.ms,1775213556063000000,1775213616062000000,0
workspaceModel.entityStorageSnapshotImpl.instances.count,1775213556063000000,1775213616062000000,23
workspaceModel.workspaceFileIndexData.visitFileSets.ms,1775213556063000000,1775213616062000000,27
workspaceModel.cachedValue.calculated.count,1775213556063000000,1775213616062000000,16
workspaceModel.on.before.changed.ms,1775213556063000000,1775213616062000000,147
workspaceModel.updates.precise.ms,1775213556063000000,1775213616062000000,9
FlushQueue.queueSizeMax,1775213556063000000,1775213616062000000,166
ReadAction.executionsCount,1775213556063000000,1775213616062000000,207384
AWTEventQueue.dispatchTimeMaxNs,1775213556063000000,1775213616062000000,438304767
NonBlockingReadAction.finalizedExecutionsCount,1775213556063000000,1775213616062000000,28
FlushQueue.waitingTime90PNs,1775213556063000000,1775213616062000000,192937983
AWTEventQueue.dispatchTimeAvgNs,1775213556063000000,1775213616062000000,2436923.6300578034
FlushQueue.executionTimeMaxNs,1775213556063000000,1775213616062000000,3422552063
FlushQueue.queueSize90P,1775213556063000000,1775213616062000000,46
NonBlockingReadAction.failedExecutionsCount,1775213556063000000,1775213616062000000,6
FlushQueue.waitingTimeMaxNs,1775213556063000000,1775213616062000000,897581055
FlushQueue.waitingTimeAvgNs,1775213556063000000,1775213616062000000,5.951072127608639E7
NonBlockingReadAction.failedExecutionTimeUs,1775213556063000000,1775213616062000000,313127
AWTEventQueue.dispatchTime90PNs,1775213556063000000,1775213616062000000,3997695
FlushQueue.executionTimeAvgNs,1775213556063000000,1775213616062000000,2339485.2354931044
AWTEventQueue.eventsDispatched,1775213556063000000,1775213616062000000,8304
AWTEventQueue.dispatchTimeTotalNS,1775213556063000000,1775213616062000000,20543583129
NonBlockingReadAction.finalizedExecutionTimeUs,1775213556063000000,1775213616062000000,1640538
FlushQueue.executionTime90PNs,1775213556063000000,1775213616062000000,745471
WriteAction.executionsCount,1775213556063000000,1775213616062000000,25
FlushQueue.queueSizeAvg,1775213556063000000,1775213616062000000,14.424408014571949
FlushQueue.tasksExecuted,1775213556063000000,1775213616062000000,3843
Indexes.entries.lookups,1775213556063000000,1775213616062000000,1
Indexing.writesQueuedMin,1775213556063000000,1775213616062000000,0
Indexing.cache.totalCacheMisses,1775213556063000000,1775213616062000000,1951274
Indexing.writer_1.totalTimeSpentWritingMs,1775213556063000000,1775213616062000000,10650
Indexing.cache.totalCacheAccesses,1775213556063000000,1775213616062000000,15084028
Indexes.entries.lookupDuration90PMs,1775213556063000000,1775213616062000000,41.0
Indexing.cache.totalCacheEvicted,1775213556063000000,1775213616062000000,1951254
Indexes.allKeys.lookupDuration90PMs,1775213556063000000,1775213616062000000,0.0
Indexing.writer_3.totalTimeSpentWritingMs,1775213556063000000,1775213616062000000,8631
Indexes.allKeys.lookupDurationMaxMs,1775213556063000000,1775213616062000000,0.0
Indexes.stubs.lookupDurationMaxMs,1775213556063000000,1775213616062000000,50.0
Indexing.totalTimeIndexersSleptMs,1775213556063000000,1775213616062000000,60755
Indexes.stubs.lookupDurationAvgMs,1775213556063000000,1775213616062000000,2.7
Indexes.entries.lookupDurationAvgMs,1775213556063000000,1775213616062000000,41.0
Indexes.allKeys.lookups,1775213556063000000,1775213616062000000,0
Indexing.writer_2.totalTimeSpentWritingMs,1775213556063000000,1775213616062000000,8515
Indexes.stubs.lookupDuration90PMs,1775213556063000000,1775213616062000000,3.0
Indexes.stubs.lookups,1775213556063000000,1775213616062000000,40
Indexes.entries.lookupDurationMaxMs,1775213556063000000,1775213616062000000,41.0
Indexing.writesQueuedAvg,1775213556063000000,1775213616062000000,315.1272727272727
Indexing.writesQueuedMax,1775213556063000000,1775213616062000000,2085
Indexes.allKeys.lookupDurationAvgMs,1775213556063000000,1775213616062000000,0.0
Indexing.writer_0.totalTimeSpentWritingMs,1775213556063000000,1775213616062000000,15973
jps.global.initialize.library.bridges.ms,1775213556063000000,1775213616062000000,3
jps.global.initialize.library.bridges.after.loading.ms,1775213556063000000,1775213616062000000,2
workspaceModel.moduleManagerBridge.load.all.modules.ms,1775213556063000000,1775213616062000000,63
workspaceModel.delayed.project.synchronizer.sync.ms,1775213556063000000,1775213616062000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1775213556063000000,1775213616062000000,0
jps.facet.change.listener.before.change.events.ms,1775213556063000000,1775213616062000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1775213556063000000,1775213616062000000,6
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1775213556063000000,1775213616062000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1775213556063000000,1775213616062000000,1
workspaceModel.mutableEntityStorage.instances.count,1775213556063000000,1775213616062000000,34
jps.project.serializers.save.ms,1775213556063000000,1775213616062000000,0
jps.module.iml.entities.serializer.load.entities.ms,1775213556063000000,1775213616062000000,74
jps.app.storage.content.reader.load.component.ms,1775213556063000000,1775213616062000000,1
workspaceModel.moduleManagerBridge.newModule.ms,1775213556063000000,1775213616062000000,0
workspaceModel.moduleBridgeLoader.loading.modules.ms,1775213556063000000,1775213616062000000,85
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1775213556063000000,1775213616062000000,0
workspaceModel.moduleBridge.update.option.ms,1775213556063000000,1775213616062000000,0
jps.facet.change.listener.init.bridge.ms,1775213556063000000,1775213616062000000,1
jps.module.iml.entities.serializer.save.entities.ms,1775213556063000000,1775213616062000000,0
